abrangencia,tipo_abrangencia,ano,sexo,cor_raca,ocupacao,codigo_ocupacao,descricao_ocupacao,nivel_ocupacao,ocupacao_norm,pessoas,rendimento_medio_reais,rendimento_mediano_reais
Brasil,Brasil,2022,Total,Amarela,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,83,4248.94,2500.0
Brasil,Brasil,2022,Total,Parda,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,3600,3079.59,2200.0
Brasil,Brasil,2022,Total,Indígena,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,97,4671.26,4000.0
Brasil,Brasil,2022,Homens,Total,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,5846,4393.42,3000.0
Brasil,Brasil,2022,Homens,Branca,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,2716,5296.38,4000.0
Brasil,Brasil,2022,Homens,Preta,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,850,4122.73,3500.0
Brasil,Brasil,2022,Homens,Amarela,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,44,4917.81,500.0
Brasil,Brasil,2022,Homens,Parda,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,2167,3341.25,2500.0
Brasil,Brasil,2022,Homens,Indígena,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,69,4907.14,2400.0
Brasil,Brasil,2022,Mulheres,Total,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,4249,4212.35,2900.0
Brasil,Brasil,2022,Mulheres,Branca,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,2326,5316.1,3500.0
Brasil,Brasil,2022,Mulheres,Preta,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,423,3395.17,2400.0
Brasil,Brasil,2022,Mulheres,Amarela,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,39,3496.48,4000.0
Brasil,Brasil,2022,Mulheres,Parda,1.1.1.4 Dirigentes de organizações que apresentam um interesse especial,1.1.1.4,Dirigentes de organizações que apresentam um interesse especial,4,dirigentes_de_organizacoes_que_apresentam_um_interesse_especial,1433,2683.73,2000.0
